group,IDNR,sex,grade,age,a1.1,a1.2,a1.3,a1.4,a1.5,a1.6,a1.7,a1.8,a1.9,a1.10,a1.11,a1.12,a1.13,a1.14,a1.15,a1.16
1,648,2,4,11,-9,1,1,1,0,1,1,1,-9,-9,1,-9,-9,0,-9,-9
1,717,1,4,12,1,1,1,1,1,1,1,1,1,-9,1,0,1,-9,0,-9
1,53,1,6,13,1,1,0,1,1,1,-9,1,1,-9,-9,-9,-9,-9,-9,-9
1,75,2,6,13,1,1,1,1,1,1,1,1,1,1,0,-9,-9,-9,-9,-9
1,82,2,6,13,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,-9
1,549,1,5,13,1,1,1,1,1,1,1,1,1,1,0,-9,-9,-9,-9,-9
1,18,1,6,14,1,1,1,1,1,1,1,1,1,-9,1,0,0,0,-9,-9
1,130,1,6,14,1,1,1,1,1,1,1,0,1,-9,-9,-9,-9,-9,0,-9
1,133,1,6,14,1,1,1,1,0,1,1,0,1,1,0,0,0,0,-9,-9
1,175,1,6,14,1,0,1,1,1,1,1,1,1,0,0,-9,-9,0,-9,0
1,185,1,6,14,1,1,1,1,1,0,1,1,1,1,-9,-9,-9,1,-9,-9
1,194,1,6,14,1,1,1,1,1,0,1,0,1,1,0,0,-9,1,-9,-9
1,205,1,6,14,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,-9
1,249,1,6,14,1,1,1,1,1,1,1,1,1,1,-9,0,-9,-9,1,1
1,288,2,6,14,1,1,1,1,1,1,1,0,1,1,1,0,1,-9,0,0
1,297,2,6,14,1,1,1,1,1,-9,1,1,1,1,1,0,-9,0,0,-9
1,342,2,6,15,1,1,0,1,-9,1,1,1,1,-9,0,-9,-9,-9,1,-9
1,343,2,6,15,-9,1,0,1,1,1,1,0,1,-9,1,-9,-9,0,-9,-9
1,366,2,6,15,1,-9,1,1,0,1,1,0,1,0,1,-9,-9,-9,-9,-9
